Algoritmo,Topologia,Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj),Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj),Makespan(min),Energia Total (Kj),Energia Verde (kJ), Energia Marrom (Kj)
trivial,heft_test,176.24,14492.8,4355.9,10136.89
stencil_1d,heft_test,196.15,14485.11,3661.37,10823.74
stencil_1d_periodic,heft_test,193.91,14359.83,3617.46,10742.37
dom,heft_test,59.41,2996.92,775.57,2221.35
tree,heft_test,192.69,13206.46,4109.84,9096.62
fft,heft_test,193.85,14335.02,3657.96,10677.06
nearest,heft_test,194.0,14350.51,3637.7,10712.81
no_comm,heft_test,194.41,14435.44,3650.55,10784.88
spread -period 2,heft_test,194.69,14381.98,3614.44,10767.54
random_nearest,heft_test,192.35,14251.2,3716.31,10534.89
trivial,moheft_energy,176.24,20160.82,5288.61,14872.2,300.54,9730.69,5868.35,3862.34,300.97,9726.69,5864.35,3862.34
stencil_1d,moheft_energy,196.54,19114.06,4445.69,14668.37,336.81,8639.79,5171.26,3468.53,339.51,8634.07,5167.82,3466.25
stencil_1d_periodic,moheft_energy,194.94,19620.21,4461.31,15158.9,330.82,8875.55,5082.19,3793.36,331.14,8871.75,5077.57,3794.18
dom,moheft_energy,60.35,3712.64,777.69,2934.96,101.99,1521.95,1066.91,455.03,102.0,1513.01,1058.96,454.05
tree,moheft_energy,190.15,18653.68,4843.13,13810.55,306.41,9176.07,5038.38,4137.69,306.6,9172.22,5021.85,4150.38
fft,moheft_energy,192.81,20150.54,4540.83,15609.71,322.16,9044.26,5132.74,3911.52,324.31,9040.19,5157.06,3883.13
nearest,moheft_energy,194.22,19074.94,4516.2,14558.74,330.29,8968.63,5047.6,3921.03,330.74,8941.25,5020.76,3920.48
no_comm,moheft_energy,196.38,19987.12,4159.89,15827.23,307.4,10029.84,4810.73,5219.11,307.48,10029.39,4810.73,5218.66
spread -period 2,moheft_energy,195.26,19884.53,4329.87,15554.66,313.19,9442.73,4938.21,4504.52,313.3,9402.76,4920.8,4481.96
random_nearest,moheft_energy,193.14,20266.09,4323.43,15942.66,330.21,9259.85,5011.23,4248.62,330.73,9240.94,5023.43,4217.51
trivial,moheft_green_energy,176.24,20393.12,5370.32,15022.8,486.4,9039.58,6841.6,2197.98,486.66,9039.59,6858.91,2180.68
stencil_1d,moheft_green_energy,196.68,19315.98,4383.89,14932.09,441.51,9822.53,9258.65,563.88,442.49,9831.65,9275.41,556.24
stencil_1d_periodic,moheft_green_energy,194.33,19152.91,4331.39,14821.52,435.83,9677.79,8910.91,766.88,435.94,9677.51,8911.9,765.62
dom,moheft_green_energy,60.91,4001.66,809.09,3192.57,115.2,1842.04,1768.79,73.25,115.2,1832.61,1760.35,72.26
tree,moheft_green_energy,192.6,18251.36,4944.06,13307.3,444.64,9625.06,8897.34,727.72,444.78,9630.71,8911.0,719.71
fft,moheft_green_energy,192.61,19633.02,4591.87,15041.16,443.76,9851.82,9283.83,568.0,444.06,9840.27,9273.56,566.72
nearest,moheft_green_energy,196.68,19315.98,4383.89,14932.09,441.51,9822.53,9258.65,563.88,442.49,9831.65,9275.41,556.24
no_comm,moheft_green_energy,194.26,19496.93,4011.07,15485.86,441.03,9886.53,9445.85,440.67,442.24,9882.94,9461.47,421.48
spread -period 2,moheft_green_energy,196.69,18794.68,4225.45,14569.23,450.98,9946.37,9381.79,564.58,452.24,9944.23,9381.68,562.55
random_nearest,moheft_green_energy,191.8,19138.73,4373.85,14764.88,412.26,10240.92,9276.9,964.02,412.44,10244.45,9280.48,963.97
