Task Id,Mean duration (seconds)
1,268.14023063999997
2,234.81762317
3,289.764426802
4,294.874050431
5,289.764426802
6,249.30581828
7,317.378138011
8,317.378138011
9,297.363480411
10,296.97428554500004
11,289.764426802
12,296.97428554500004
13,297.363480411
14,234.81762317
15,268.14023063999997
16,297.363480411
17,249.30581828
18,289.764426802
19,224.605834557
20,234.81762317
21,268.14023063999997
22,234.81762317
23,249.30581828
24,249.30581828
25,265.507280913
26,294.874050431
27,294.874050431
28,317.378138011
29,296.97428554500004
30,224.605834557
31,268.14023063999997
32,234.81762317
33,224.605834557
34,297.363480411
35,317.378138011
36,289.764426802
37,224.605834557
38,268.14023063999997
39,234.81762317
40,268.14023063999997
41,234.81762317
42,294.874050431
43,224.605834557
44,317.378138011
45,294.874050431
46,265.507280913
47,265.507280913
48,249.30581828
49,234.81762317
50,249.30581828
51,234.81762317
52,296.97428554500004
53,297.363480411
54,249.30581828
55,296.97428554500004
56,296.97428554500004
57,265.507280913
58,297.363480411
59,294.874050431
60,297.363480411
61,249.30581828
62,224.605834557
63,249.30581828
64,268.14023063999997
65,297.363480411
66,234.81762317
67,289.764426802
68,224.605834557
69,297.363480411
70,297.363480411
71,224.605834557
72,297.363480411
73,249.30581828
74,296.97428554500004
75,289.764426802
76,317.378138011
77,296.97428554500004
78,317.378138011
79,317.378138011
80,317.378138011
81,289.764426802
82,296.97428554500004
83,234.81762317
84,294.874050431
85,249.30581828
86,317.378138011
87,294.874050431
88,249.30581828
89,268.14023063999997
90,296.97428554500004
91,317.378138011
92,294.874050431
93,268.14023063999997
94,294.874050431
95,296.97428554500004
96,317.378138011
97,265.507280913
98,296.97428554500004
99,268.14023063999997
100,294.874050431
101,224.605834557
102,289.764426802
103,224.605834557
104,249.30581828
105,224.605834557
106,317.378138011
107,297.363480411
108,297.363480411
109,249.30581828
110,296.97428554500004
111,294.874050431
112,317.378138011
113,289.764426802
114,268.14023063999997
115,294.874050431
116,297.363480411
117,265.507280913
118,249.30581828
119,224.605834557
120,268.14023063999997
121,249.30581828
122,296.97428554500004
123,297.363480411
124,224.605834557
125,224.605834557
126,265.507280913
127,297.363480411
128,265.507280913
129,224.605834557
130,249.30581828
131,289.764426802
132,234.81762317
133,317.378138011
134,294.874050431
135,289.764426802
136,296.97428554500004
137,294.874050431
138,297.363480411
139,294.874050431
140,296.97428554500004
141,317.378138011
142,294.874050431
143,234.81762317
144,265.507280913
145,268.14023063999997
146,268.14023063999997
147,297.363480411
148,294.874050431
149,224.605834557
150,234.81762317
151,297.363480411
152,224.605834557
153,249.30581828
154,234.81762317
155,224.605834557
156,224.605834557
157,297.363480411
158,297.363480411
159,296.97428554500004
160,289.764426802
161,296.97428554500004
162,265.507280913
163,297.363480411
164,268.14023063999997
165,234.81762317
166,265.507280913
167,249.30581828
168,296.97428554500004
169,297.363480411
170,268.14023063999997
171,234.81762317
172,265.507280913
173,268.14023063999997
174,268.14023063999997
175,317.378138011
176,317.378138011
177,297.363480411
178,296.97428554500004
179,289.764426802
180,294.874050431
181,296.97428554500004
182,296.97428554500004
183,296.97428554500004
184,268.14023063999997
185,296.97428554500004
186,294.874050431
187,294.874050431
188,224.605834557
189,268.14023063999997
190,294.874050431
191,289.764426802
192,289.764426802
193,317.378138011
194,265.507280913
195,249.30581828
196,234.81762317
197,317.378138011
198,265.507280913
199,296.97428554500004
200,296.97428554500004
